1;[1041, 465, 1093, 520];stop sign;3
2;[878, 235, 963, 274];car;3
3;[822, 258, 912, 304];car;3
4;[955, 205, 1036, 230];car;3
5;[807, 670, 974, 720];car;3
6;[1121, 277, 1171, 328];car;3
7;[499, 347, 670, 418];car;3
8;[990, 184, 1060, 212];car;3
9;[495, 346, 674, 418];truck;3
10;[1146, 221, 1187, 264];car;3
1;[1041, 465, 1093, 520];stop sign;4
2;[878, 235, 963, 274];car;4
3;[822, 258, 912, 304];car;4
4;[955, 205, 1036, 230];car;4
5;[807, 670, 974, 720];car;4
6;[1121, 277, 1171, 328];car;4
7;[506, 348, 677, 418];car;4
8;[990, 184, 1060, 212];car;4
9;[499, 347, 676, 418];truck;4
10;[1146, 221, 1187, 264];car;4
1;[1041, 465, 1093, 520];stop sign;5
2;[878, 235, 963, 274];car;5
3;[822, 258, 912, 304];car;5
4;[955, 205, 1036, 230];car;5
5;[807, 670, 974, 720];car;5
6;[1121, 277, 1171, 328];car;5
7;[510, 348, 683, 419];car;5
8;[990, 184, 1060, 212];car;5
10;[1146, 221, 1187, 264];car;5
1;[1041, 465, 1093, 520];stop sign;6
2;[878, 235, 963, 274];car;6
3;[822, 258, 912, 304];car;6
4;[955, 205, 1036, 230];car;6
5;[807, 670, 974, 720];car;6
6;[1121, 277, 1171, 328];car;6
7;[519, 348, 691, 420];car;6
8;[990, 184, 1060, 212];car;6
10;[1146, 221, 1188, 264];car;6
1;[1041, 465, 1093, 520];stop sign;7
2;[878, 235, 963, 274];car;7
3;[822, 258, 912, 304];car;7
4;[955, 205, 1036, 230];car;7
5;[807, 670, 974, 720];car;7
6;[1121, 277, 1171, 328];car;7
7;[523, 348, 697, 420];car;7
8;[989, 184, 1059, 212];car;7
9;[522, 347, 703, 419];truck;7
10;[1146, 221, 1187, 264];car;7
1;[1041, 465, 1093, 520];stop sign;8
2;[878, 235, 963, 274];car;8
3;[822, 258, 912, 304];car;8
4;[954, 205, 1035, 230];car;8
5;[807, 670, 974, 720];car;8
6;[1121, 277, 1171, 328];car;8
7;[529, 346, 708, 420];car;8
8;[989, 184, 1059, 212];car;8
9;[529, 347, 712, 420];truck;8
10;[1146, 221, 1187, 264];car;8
1;[1041, 465, 1093, 520];stop sign;9
2;[878, 235, 963, 274];car;9
